kabeltyp,adern,querschnitt_mm2,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,quelle
NAYY,4,16,1.870,0.082,210,0.063,DIN VDE 0276-603
NAYY,4,25,1.200,0.082,220,0.102,DIN VDE 0276-603
NAYY,4,35,0.868,0.082,230,0.123,DIN VDE 0276-603
NAYY,4,50,0.641,0.083,240,0.144,DIN VDE 0276-603
NAYY,4,70,0.443,0.082,250,0.179,DIN VDE 0276-603
NAYY,4,95,0.320,0.081,260,0.215,DIN VDE 0276-603
NAYY,4,120,0.253,0.080,270,0.245,DIN VDE 0276-603
NAYY,4,150,0.206,0.080,280,0.275,DIN VDE 0276-603
NAKLY,3,70,0.443,0.082,200,0.220,DIN VDE 0276-603
NAKLY,3,120,0.253,0.080,230,0.275,DIN VDE 0276-603
NYY,4,16,1.150,0.082,210,0.079,DIN VDE 0276-603
NYY,4,25,0.727,0.082,220,0.106,DIN VDE 0276-603
NYY,4,35,0.524,0.082,230,0.129,DIN VDE 0276-603
NYY,4,50,0.387,0.083,240,0.157,DIN VDE 0276-603
NYY,4,70,0.268,0.082,250,0.199,DIN VDE 0276-603
NYY,4,95,0.193,0.080,260,0.246,DIN VDE 0276-603
NYY,4,120,0.153,0.080,270,0.285,DIN VDE 0276-603
NYY,4,150,0.124,0.080,280,0.326,DIN VDE 0276-603
